Date,Open
2014-09-29,629.0
2014-09-30,625.0
2014-10-01,630.0
2014-10-07,625.5
2014-10-08,625.0
2014-10-09,639.95
2014-10-10,648.6
2014-10-13,661.9
2014-10-14,663.9
2014-10-16,646.1
2014-10-17,632.0
2014-10-20,646.0
2014-10-21,652.0
2014-10-22,649.8
2014-10-23,650.0
2014-10-27,657.5
2014-10-28,648.85
2014-10-29,653.95
2014-10-30,644.65
2014-10-31,647.1
2014-11-03,660.9
2014-11-05,660.9
2014-11-07,660.0
2014-11-10,646.15
2014-11-11,648.25
2014-11-12,649.0
2014-11-13,646.0
2014-11-14,646.9
2014-11-17,675.4
2014-11-18,695.0
2014-11-19,699.7
2014-11-20,684.8
2014-11-21,691.8
2014-11-24,693.8
2014-11-25,688.95
2014-11-26,693.9
2014-11-27,709.4
2014-11-28,716.1
2014-12-01,753.95
2014-12-02,796.8
2014-12-03,774.8
2014-12-04,791.95
2014-12-05,794.9
2014-12-08,794.0
2014-12-09,797.0
2014-12-10,779.95
2014-12-11,782.6
2014-12-12,774.5
2014-12-15,770.0
2014-12-16,765.0
2014-12-17,755.1
2014-12-18,737.2
2014-12-19,756.95
2014-12-22,731.2
2014-12-23,747.0
2014-12-24,740.1
2014-12-26,732.0
2014-12-29,728.85
2014-12-30,761.0
2014-12-31,749.75
2015-01-01,751.1
2015-01-02,751.25
2015-01-05,779.9
2015-01-06,775.0
2015-01-07,763.4
2015-01-08,783.8
2015-01-09,828.45
2015-01-12,813.05
2015-01-13,813.0
2015-01-14,840.0
2015-01-15,849.0
2015-01-16,844.9
2015-01-19,846.0
2015-01-20,835.0
2015-01-21,845.0
2015-01-22,856.5
2015-01-23,870.8
2015-01-27,868.9
2015-01-28,893.05
2015-01-29,913.8
2015-01-30,888.5
2015-02-02,850.0
2015-02-03,809.8
2015-02-04,819.8
2015-02-05,812.0
2015-02-06,810.0
2015-02-09,790.0
2015-02-10,801.9
2015-02-11,830.0
2015-02-12,847.0
2015-02-13,824.35
2015-02-16,834.0
2015-02-18,839.1
2015-02-19,826.0
2015-02-20,834.25
2015-02-23,829.5
2015-02-24,810.0
2015-02-25,805.2
2015-02-26,818.8
2015-02-27,799.1
2015-02-28,812.8
2015-03-02,823.8
2015-03-03,829.85
2015-03-04,844.5
2015-03-05,837.0
2015-03-09,832.5
2015-03-10,813.0
2015-03-11,818.0
2015-03-12,814.8
2015-03-13,811.9
2015-03-16,813.0
2015-03-17,839.35
2015-03-18,835.85
2015-03-19,824.0
2015-03-20,836.0
2015-03-23,816.0
2015-03-24,809.65
2015-03-25,813.8
2015-03-26,803.0
2015-03-27,793.0
2015-03-30,780.1
2015-03-31,807.9
2015-04-01,810.0
2015-04-06,829.0
2015-04-07,824.35
2015-04-08,841.0
2015-04-09,855.0
2015-04-10,853.0
2015-04-13,860.0
2015-04-15,861.65
2015-04-16,835.0
2015-04-17,822.25
2015-04-20,818.0
2015-04-21,813.45
2015-04-22,800.0
2015-04-23,793.1
2015-04-24,792.5
2015-04-27,775.0
2015-04-28,741.95
2015-04-29,763.1
2015-04-30,749.3
2015-05-04,769.85
2015-05-05,780.0
2015-05-06,779.0
2015-05-07,753.3
2015-05-08,773.0
2015-05-11,768.0
2015-05-12,772.8
2015-05-13,759.05
2015-05-14,762.0
2015-05-15,802.0
2015-05-18,796.85
2015-05-19,758.0
2015-05-20,775.65
2015-05-21,770.0
2015-05-22,775.0
2015-05-25,775.95
2015-05-26,762.1
2015-05-27,762.0
2015-05-28,760.15
2015-05-29,768.5
2015-06-01,787.8
2015-06-02,789.1
2015-06-03,763.0
2015-06-04,763.9
2015-06-05,759.0
2015-06-08,759.0
2015-06-09,744.8
2015-06-10,736.0
2015-06-11,739.2
2015-06-12,709.0
2015-06-15,714.75
2015-06-16,700.95
2015-06-17,708.0
2015-06-18,718.95
2015-06-19,733.8
2015-06-22,744.65
2015-06-23,750.0
2015-06-24,751.9
2015-06-25,753.0
2015-06-26,744.1
2015-06-29,743.0
2015-06-30,737.0
2015-07-01,757.45
2015-07-02,763.1
2015-07-03,762.0
2015-07-06,765.0
2015-07-07,793.0
2015-07-08,819.8
2015-07-09,810.0
2015-07-10,806.0
2015-07-13,805.2
2015-07-14,823.0
2015-07-15,826.5
2015-07-16,853.0
2015-07-17,851.8
2015-07-20,830.0
2015-07-21,853.0
2015-07-22,820.0
2015-07-23,846.0
2015-07-24,852.0
2015-07-27,847.0
2015-07-28,857.0
2015-07-29,834.4
2015-07-30,848.0
